end_station_name,return_count_weekday,return_count_weekend,return_share_weekday,return_share_weekend,condition_type,condition_value,weekend_minus_weekday_share_under_weather,total_return_count_under_weather,end_lat,end_lng
Dearborn St & Division St,254.0,67.0,0.0008881895270565609,0.0008298960771927217,cold,cold,-5.8293449863839166e-05,321.0,41.9043,-87.62991
Dearborn St & Erie St,1563.0,483.0,0.0054655127196433255,0.0059826836609564865,cold,cold,0.0005171709413131611,2046.0,41.893992,-87.629318
Dearborn St & Madison St,380.0,24.0,0.0013287874814232013,0.0002972762067556018,cold,cold,-0.0010315112746675996,404.0,41.88206,-87.62963999999998
Dearborn St & Maple St,340.0,94.0,0.0011889151149576012,0.0011643318097927736,cold,cold,-2.458330516482755e-05,434.0,41.90191999999999,-87.63026
Dearborn St & Monroe St,1272.0,132.0,0.0044479412536060844,0.0016350191371558099,cold,cold,-0.0028129221164502746,1404.0,41.881319815,-87.6295209193
Dearborn St & Van Buren St,482.0,136.0,0.0016854620159104817,0.0016845651716150768,cold,cold,-8.968442954048698e-07,618.0,41.876268,-87.629155
Dearborn St & Washington St,114.0,17.0,0.0003986362444269604,0.0002105706464518846,cold,cold,-0.0001880655979750758,131.0,41.88299,-87.6293
Delano Ct & Roosevelt Rd,322.0,148.0,0.0011259725500480811,0.0018332032749928777,cold,cold,0.0007072307249447966,470.0,41.867491,-87.63219
Desplaines St & Jackson Blvd,1113.0,278.0,0.003891948596905324,0.003443449394919054,cold,cold,-0.00044849920198626993,1391.0,41.87811890091227,-87.64394760131836
Desplaines St & Kinzie St,1513.0,498.0,0.005290672261561325,0.006168481290178737,cold,cold,0.0008778090286174116,2011.0,41.888716036,-87.6444478533
Desplaines St & Randolph St,542.0,122.0,0.001895270565608882,0.0015111540510076426,cold,cold,-0.0003841165146012393,664.0,41.883703,-87.644238
Dodge Ave & Church St,56.0,23.0,0.0001958213130518402,0.00028488969814078507,cold,cold,8.906838508894487e-05,79.0,42.048308,-87.698224
Dodge Ave & Mulford St,32.0,21.0,0.00011189789317248011,0.0002601166809111516,cold,cold,0.00014821878773867148,53.0,42.023463,-87.699595
