condition_type,condition_value,day_type,rank_in_group,end_station_name,return_count,return_share,total_returns_in_group,end_lat,end_lng
rain,rainy,weekday,1,Kingsbury St & Kinzie St,7887,0.010300002089514815,765728,41.889172621529056,-87.63849963502554
rain,rainy,weekday,2,Clinton St & Washington Blvd,7615,0.00994478457102261,765728,41.883378993326986,-87.64117008864396
rain,rainy,weekday,3,Canal St & Madison St,6794,0.008872602281750177,765728,41.882409,-87.639767
rain,rainy,weekday,4,Clinton St & Madison St,6298,0.008224852689205567,765728,41.88275006331282,-87.64119022354309
rain,rainy,weekday,5,Clinton St & Jackson Blvd,5695,0.007437366793430565,765728,41.87831662050808,-87.64098109175531
rain,rainy,weekday,6,Streeter Dr & Grand Ave,5418,0.007075619541142547,765728,41.892278002970286,-87.61204300164603
rain,rainy,weekday,7,Clark St & Elm St,5380,0.007025993564294371,765728,41.90301732164141,-87.63152289470456
rain,rainy,weekday,8,Michigan Ave & Oak St,5099,0.006659022524969702,765728,41.90096039009614,-87.62377663865593
rain,rainy,weekday,9,Canal St & Adams St,4922,0.0064278699485979356,765728,41.879255,-87.639904
rain,rainy,weekday,10,DuSable Lake Shore Dr & Monroe St,4876,0.00636779639767646,765728,41.880958,-87.616743
rain,rainy,weekday,11,Franklin St & Monroe St,4764,0.006221530360650257,765728,41.88031616332084,-87.63518440237203
rain,rainy,weekday,12,DuSable Lake Shore Dr & North Blvd,4746,0.006198023318985332,765728,41.911722,-87.626804
rain,rainy,weekday,13,State St & Chicago Ave,4722,0.006166680596765431,765728,41.896617200407526,-87.62857854366302
rain,rainy,weekday,14,Daley Center Plaza,4626,0.006041309707885829,765728,41.88424087537072,-87.62963348535213
rain,rainy,weekday,15,Wells St & Elm St,4507,0.0058859020435454885,765728,41.903222,-87.634324
rain,rainy,weekday,16,Wells St & Concord Ln,4468,0.005834970119938151,765728,41.912133,-87.634656
rain,rainy,weekday,17,Orleans St & Merchandise Mart Plaza,4344,0.005673032721801997,765728,41.888243,-87.63638999999999
rain,rainy,weekday,18,Wells St & Huron St,4321,0.005642995946341259,765728,41.89478399980203,-87.6343724037867
rain,rainy,weekday,19,University Ave & 57th St,4311,0.005629936478749634,765728,41.79147800295527,-87.59986050810642
rain,rainy,weekday,20,Millennium Park,4205,0.005491506122278407,765728,41.8810317,-87.62408432
rain,rainy,weekend,1,DuSable Lake Shore Dr & Monroe St,4816,0.013900955690703735,346451,41.880958,-87.616743
